"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
783,15,"AUS","Australia",7,"Queensland",783,"Rothwell-Kippa-Ring","Unknown","Unknown",NA,NA
784,15,"AUS","Australia",7,"Queensland",784,"Rowes Bay-Belgian Gardens","Unknown","Unknown",NA,NA
785,15,"AUS","Australia",7,"Queensland",785,"Runcorn","Unknown","Unknown",NA,NA
786,15,"AUS","Australia",7,"Queensland",786,"Saibai","Unknown","Unknown",NA,NA
787,15,"AUS","Australia",7,"Queensland",787,"Salisbury","Unknown","Unknown",NA,NA
788,15,"AUS","Australia",7,"Queensland",788,"Sandgate","Unknown","Unknown",NA,NA
789,15,"AUS","Australia",7,"Queensland",789,"Sarina","Shire","Shire",NA,NA
790,15,"AUS","Australia",7,"Queensland",790,"Seisia","Shire","Shire",NA,NA
791,15,"AUS","Australia",7,"Queensland",791,"Seventeen Mile Rocks","Unknown","Unknown",NA,NA
792,15,"AUS","Australia",7,"Queensland",792,"Shailer Park","Unknown","Unknown",NA,NA
793,15,"AUS","Australia",7,"Queensland",793,"Sheldon-Mt Cotton","Unknown","Unknown",NA,NA
794,15,"AUS","Australia",7,"Queensland",794,"Sherwood","Unknown","Unknown",NA,NA
795,15,"AUS","Australia",7,"Queensland",795,"Slacks Creek","Unknown","Unknown",NA,NA
796,15,"AUS","Australia",7,"Queensland",796,"South Brisbane","Unknown","Unknown",NA,NA
797,15,"AUS","Australia",7,"Queensland",797,"South Townsville","Unknown","Unknown",NA,NA
798,15,"AUS","Australia",7,"Queensland",798,"Southport","Unknown","Unknown",NA,NA
799,15,"AUS","Australia",7,"Queensland",799,"Spring Hill","Unknown","Unknown",NA,NA
800,15,"AUS","Australia",7,"Queensland",800,"Springwood","Unknown","Unknown",NA,NA
801,15,"AUS","Australia",7,"Queensland",801,"St Lucia","Unknown","Unknown",NA,NA
802,15,"AUS","Australia",7,"Queensland",802,"St Pauls","Shire","Shire",NA,NA
803,15,"AUS","Australia",7,"Queensland",803,"Stafford Heights","Unknown","Unknown",NA,NA
804,15,"AUS","Australia",7,"Queensland",804,"Stafford","Unknown","Unknown",NA,NA
805,15,"AUS","Australia",7,"Queensland",805,"Stanthorpe","Shire","Shire",NA,NA
806,15,"AUS","Australia",7,"Queensland",806,"Strathpine-Brendale","Unknown","Unknown",NA,NA
807,15,"AUS","Australia",7,"Queensland",807,"Stretton-Karawatha","Unknown","Unknown",NA,NA
808,15,"AUS","Australia",7,"Queensland",808,"Stuart-Roseneath","Unknown","Unknown",NA,NA
809,15,"AUS","Australia",7,"Queensland",809,"Sunnybank Hills","Unknown","Unknown",NA,NA
810,15,"AUS","Australia",7,"Queensland",810,"Sunnybank","Unknown","Unknown",NA,NA
811,15,"AUS","Australia",7,"Queensland",811,"Surfers Paradise","Unknown","Unknown",NA,NA
812,15,"AUS","Australia",7,"Queensland",812,"Taigum-Fitzgibbon","Unknown","Unknown",NA,NA
813,15,"AUS","Australia",7,"Queensland",813,"Tambo","Shire","Shire",NA,NA
814,15,"AUS","Australia",7,"Queensland",814,"Tanah Merah","Unknown","Unknown",NA,NA
815,15,"AUS","Australia",7,"Queensland",815,"Tara","Shire","Shire",NA,NA
816,15,"AUS","Australia",7,"Queensland",816,"Taringa","Unknown","Unknown",NA,NA
817,15,"AUS","Australia",7,"Queensland",817,"Taroom","Shire","Shire",NA,NA
818,15,"AUS","Australia",7,"Queensland",818,"Tarragindi","Unknown","Unknown",NA,NA
819,15,"AUS","Australia",7,"Queensland",819,"The Gap","Unknown","Unknown",NA,NA
820,15,"AUS","Australia",7,"Queensland",820,"Thorneside","Unknown","Unknown",NA,NA
821,15,"AUS","Australia",7,"Queensland",821,"Thornlands","Unknown","Unknown",NA,NA
822,15,"AUS","Australia",7,"Queensland",822,"Thuringowa - Pt A Bal","City","City",NA,NA
823,15,"AUS","Australia",7,"Queensland",823,"Thuringowa - Pt B","City","City",NA,NA
824,15,"AUS","Australia",7,"Queensland",824,"Tiaro","Shire","Shire",NA,NA
825,15,"AUS","Australia",7,"Queensland",825,"Tingalpa","Unknown","Unknown",NA,NA
826,15,"AUS","Australia",7,"Queensland",826,"Toowong","Unknown","Unknown",NA,NA
827,15,"AUS","Australia",7,"Queensland",827,"Toowoomba - Central","City","City",NA,NA
828,15,"AUS","Australia",7,"Queensland",828,"Toowoomba - North-East","City","City",NA,NA
829,15,"AUS","Australia",7,"Queensland",829,"Toowoomba - North-West","City","City",NA,NA
830,15,"AUS","Australia",7,"Queensland",830,"Toowoomba - South-East","City","City",NA,NA
831,15,"AUS","Australia",7,"Queensland",831,"Toowoomba - West","City","City",NA,NA
832,15,"AUS","Australia",7,"Queensland",832,"Torres","Shire","Shire",NA,NA
833,15,"AUS","Australia",7,"Queensland",833,"Townsville - Pt B","City","City",NA,NA
834,15,"AUS","Australia",7,"Queensland",834,"Ugar","City","City",NA,NA
835,15,"AUS","Australia",7,"Queensland",835,"Umagico","Shire","Shire",NA,NA
836,15,"AUS","Australia",7,"Queensland",836,"Underwood","Unknown","Unknown",NA,NA
837,15,"AUS","Australia",7,"Queensland",837,"Upper Kedron","Unknown","Unknown",NA,NA
